 KINEROS2 Compiled 15-Sep-2017 with Intel Fortran XE 2013   

 Title:  test

 Parameter File Used....... EX1.par
 Rainfall File Used........ EX1.pre

 Length of Run, minutes.... 200
 Time Step, minutes........ 1
 Use Courant criteria?..... N
 Simulate Sed. Transport?.. Y
 Multiplier file (if any).. N
 Tabular Summary?.......... Y

 Multipliers Used:

 Saturated Conductivity... 1.0                 
 Manning n................ 1.0                 
 CV of Ksat............... 1.0                 
 Capillary Drive Coeff.... 1.0                 
 Intercepted Depth........ 1.0                 
 Sediment Cohesion Coeff.. 1.0                 
 Sediment Splash Coeff.... 1.0                 

 
 Plane Element      1
 
 Contributing area = 2.000000 ha
 
                                           theta   rel.sat.
  surface initial water content =         0.1359   0.2000
  estimated wilting point water content = 0.2201   0.5425
  estimated field capacity =              0.2822   0.7955
  3-parameter soil infiltration: alpha = 0.8000
 
 Peak flow = 0.7407505 cu m /s (133.3351 mm/hr) at 35.0 min 
 
 Peak sediment discharge = 24.39460 kg/s at  36.0 min
 
             Water balance                         Sediment balance
 --------------------------------------        ------------------------
   Rain:   1540.000 cu m    77.00000 mm               In:       0.00 kg
 Inflow:      0.000 cu m     0.00000 mm        Deposited:       0.00 kg
 Infilt:    830.202 cu m    41.51009 mm        Soil Loss:   14144.44 kg
 Stored:      0.000 cu m     0.00000 mm              Out:   14144.44 kg
    Out:    707.031 cu m    35.35154 mm 
  Error:       0.18 %
 
  Elapsed Time      Rainfall      Outflow      Outflow      Total Sediment
           min         mm/hr        mm/hr      cu m /s                kg/s
 
           0.0        5.0000       0.0000    0.0000000             0.00000
           1.0        5.0000       0.0000    0.0000000             0.00000
           2.0        5.0000       0.0000    0.0000000             0.00000
           3.0        5.0000       0.0000    0.0000000             0.00000
           4.0        5.0000       0.0000    0.0000000             0.00000
           5.0        5.0000       0.0000    0.0000000             0.00000
           6.0        5.0000       0.0000    0.0000000             0.00000
           7.0        5.0000       0.0000    0.0000000             0.00000
           8.0        5.0000       0.0000    0.0000000             0.00000
           9.0        5.0000       0.0000    0.0000000             0.00000
          10.0        5.0000       0.0000    0.0000000             0.00000
          11.0        5.0000       0.0000    0.0000000             0.00000
          12.0        5.0000       0.0000    0.0000000             0.00000
          13.0        5.0000       0.0000    0.0000000             0.00000
          14.0        5.0000       0.0000    0.0000000             0.00000
          15.0      179.2500       0.0000    0.0000000             0.00000
          16.0      179.2500       0.0000    0.0000000             0.00000
          17.0      179.2500       0.1732    0.0009624             0.04772
          18.0      179.2500       1.5959    0.0088659             0.17034
          19.0      179.2501       6.4013    0.0355628             0.29854
          20.0      179.2500      15.8742    0.0881899             0.68149
          21.0      179.2500      30.1313    0.1673960             1.51819
          22.0      179.2500      49.1520    0.2730666             3.09303
          23.0      179.2500      70.2226    0.3901254             5.39081
          24.0      179.2500      88.3344    0.4907467             7.75174
          25.0      179.2499     101.3132    0.5628512             9.60571
          26.0      179.2500     109.8897    0.6104982            10.87811
          27.0      179.2500     115.6061    0.6422564            11.74325
          28.0      179.2500     119.6415    0.6646749            12.36761
          29.0      179.2500     122.6968    0.6816491            12.85405
          30.0      179.2500     125.1570    0.6953168            13.25859
          31.0      179.2500     127.2291    0.7068281            13.61032
          32.0      179.2500     129.0271    0.7168170            13.92464
          33.0      179.2500     130.6180    0.7256553            14.20998
          34.0      179.2500     132.0442    0.7335789            14.47162
          35.0        0.4285     133.3351    0.7407505            14.71305
          36.0        0.4287      90.0852    0.5004732            24.39460
          37.0        0.4285      58.7662    0.3264788            14.88243
          38.0        0.4287      37.1109    0.2061716             7.39706
          39.0        0.4285      21.6974    0.1205411             3.50590
          40.0        0.4285      11.8344    0.0657464             1.60031
          41.0        0.4287       5.9965    0.0333138             0.70603
          42.0        0.4285       1.9100    0.0106111             0.23954
          43.0        0.4287       0.2491    0.0013841             0.07171
          44.0        0.4285       0.1107    0.0006149             0.01099
          45.0        0.4285       0.0640    0.0003558             0.00289
          46.0        0.4287       0.0405    0.0002249             0.00117
          47.0        0.4285       0.0271    0.0001505             0.00060
          48.0        0.4287       0.0189    0.0001049             0.00034
          49.0        0.4285       0.0136    0.0000754             0.00020
          50.0        0.4285       0.0100    0.0000555             0.00013
          51.0        0.4287       0.0075    0.0000417             0.00008
          52.0        0.4285       0.0057    0.0000318             0.00005
          53.0        0.4287       0.0044    0.0000246             0.00004
          54.0        0.4285       0.0035    0.0000193             0.00002
          55.0        0.4285       0.0027    0.0000152             0.00002
          56.0        0.4287       0.0022    0.0000121             0.00001
          57.0        0.4285       0.0017    0.0000097             0.00001
          58.0        0.4287       0.0014    0.0000078             0.00001
          59.0        0.4285       0.0011    0.0000063             0.00000
          60.0        0.4285       0.0009    0.0000052             0.00000
          61.0        0.4287       0.0008    0.0000042             0.00000
          62.0        0.4285       0.0006    0.0000035             0.00000
          63.0        0.4287       0.0005    0.0000028             0.00000
          64.0        0.4285       0.0004    0.0000023             0.00000
          65.0        0.4285       0.0003    0.0000019             0.00000
          66.0        0.4287       0.0003    0.0000016             0.00000
          67.0        0.4285       0.0002    0.0000013             0.00000
          68.0        0.4287       0.0002    0.0000011             0.00000
          69.0        0.4285       0.0002    0.0000009             0.00000
          70.0        0.4285       0.0001    0.0000008             0.00000
          71.0        0.4287       0.0001    0.0000006             0.00000
          72.0        0.4285       0.0001    0.0000005             0.00000
          73.0        0.4287       0.0001    0.0000004             0.00000
          74.0        0.4285       0.0001    0.0000004             0.00000
          75.0        0.4285       0.0001    0.0000003             0.00000
          76.0        0.4287       0.0000    0.0000003             0.00000
          77.0        0.4285       0.0000    0.0000002             0.00000
          78.0        0.4287       0.0000    0.0000002             0.00000
          79.0        0.4285       0.0000    0.0000001             0.00000
          80.0        0.4285       0.0000    0.0000001             0.00000
          81.0        0.4287       0.0000    0.0000001             0.00000
          82.0        0.4285       0.0000    0.0000001             0.00000
          83.0        0.4287       0.0000    0.0000001             0.00000
          84.0        0.4285       0.0000    0.0000001             0.00000
          85.0        0.4285       0.0000    0.0000001             0.00000
          86.0        0.4287       0.0000    0.0000001             0.00000
          87.0        0.4285       0.0000    0.0000000             0.00000
          88.0        0.4287       0.0000    0.0000000             0.00000
          89.0        0.4285       0.0000    0.0000000             0.00000
          90.0        0.4285       0.0000    0.0000001             0.00000
          91.0        0.4287       0.0000    0.0000000             0.00000
          92.0        0.4285       0.0000    0.0000000             0.00000
          93.0        0.4287       0.0000    0.0000000             0.00000
          94.0        0.4285       0.0000    0.0000000             0.00000
          95.0        0.4285       0.0000    0.0000000             0.00000
          96.0        0.4287       0.0000    0.0000000             0.00000
          97.0        0.4285       0.0000    0.0000000             0.00000
          98.0        0.4287       0.0000    0.0000000             0.00000
          99.0        0.4285       0.0000    0.0000000             0.00000
         100.0        0.4285       0.0000    0.0000000             0.00000
         101.0        0.4287       0.0000    0.0000000             0.00000
         102.0        0.4285       0.0000    0.0000000             0.00000
         103.0        0.4287       0.0000    0.0000000             0.00000
         104.0        0.4285       0.0000    0.0000000             0.00000
         105.0       92.9998       0.0000    0.0000000             0.00000
         106.0       93.0002       0.0000    0.0000000             0.00000
         107.0       93.0002       0.2313    0.0012850             0.01525
         108.0       92.9998       1.5353    0.0085293             0.03904
         109.0       92.9998       4.5892    0.0254955             0.05166
         110.0       93.0002       8.7802    0.0487791             0.14447
         111.0       93.0002      14.3542    0.0797454             0.32250
         112.0       92.9998      22.6184    0.1256577             0.69401
         113.0       92.9998      32.7820    0.1821222             1.30751
         114.0       93.0002      42.4513    0.2358406             2.02890
         115.0        0.0000      49.8373    0.2768737             2.65256
         116.0        0.0000      37.8505    0.2102803             6.19653
         117.0        0.0000      27.0355    0.1501974             4.22918
         118.0        0.0000      18.5379    0.1029883             2.34122
         119.0        0.0000      11.6999    0.0649995             1.23940
         120.0        0.0000       6.8103    0.0378350             0.61434
         121.0        0.0000       3.6508    0.0202823             0.28749
         122.0        0.0000       1.3394    0.0074413             0.11691
         123.0        0.0000       0.2570    0.0014276             0.04313
         124.0        0.0000       0.1129    0.0006274             0.00844
         125.0        0.0000       0.0642    0.0003568             0.00262
         126.0        0.0000       0.0401    0.0002230             0.00113
         127.0        0.0000       0.0267    0.0001482             0.00059
         128.0        0.0000       0.0185    0.0001029             0.00033
         129.0        0.0000       0.0133    0.0000738             0.00020
         130.0        0.0000       0.0098    0.0000543             0.00012
         131.0        0.0000       0.0073    0.0000408             0.00008
         132.0        0.0000       0.0056    0.0000311             0.00005
         133.0        0.0000       0.0043    0.0000241             0.00003
         134.0        0.0000       0.0034    0.0000188             0.00002
         135.0        0.0000       0.0027    0.0000149             0.00002
         136.0        0.0000       0.0021    0.0000118             0.00001
         137.0        0.0000       0.0017    0.0000095             0.00001
         138.0        0.0000       0.0014    0.0000077             0.00001
         139.0        0.0000       0.0011    0.0000062             0.00000
         140.0        0.0000       0.0009    0.0000050             0.00000
         141.0        0.0000       0.0007    0.0000041             0.00000
         142.0        0.0000       0.0006    0.0000034             0.00000
         143.0        0.0000       0.0005    0.0000028             0.00000
