x,y,z
0,411.42,2.73
11.12,389.18,2.18
11.12,400.3,2.23
11.12,411.42,2.4
22.24,355.82,2.07
22.24,366.94,2.03
22.24,378.06,2
22.24,389.18,2.16
22.24,400.3,2.25
22.24,411.42,2.08
33.36,333.58,2.46
33.36,344.7,2.28
33.36,355.82,1.88
33.36,366.94,1.76
33.36,378.06,1.81
33.36,389.18,2.09
33.36,400.3,2.2
33.36,411.42,1.9
33.36,422.54,1.69
44.48,311.35,3.45
44.48,322.47,2.12
44.48,333.58,2.11
44.48,344.7,2.06
44.48,355.82,1.81
44.48,366.94,1.72
44.48,378.06,1.68
44.48,389.18,1.75
44.48,400.3,1.7
44.48,411.42,1.53
44.48,422.54,1.37
55.6,277.99,9.87
55.6,289.11,7.16
55.6,300.23,4.57
55.6,311.35,3.16
55.6,322.47,1.73
55.6,333.58,2.03
55.6,344.7,2.05
55.6,355.82,1.84
55.6,366.94,1.66
55.6,378.06,1.56
55.6,389.18,1.5
55.6,400.3,1.29
55.6,411.42,1.09
55.6,422.54,1
66.72,255.75,12.32
66.72,266.87,11.02
66.72,277.99,10.08
66.72,289.11,6.2
66.72,300.23,2.95
66.72,311.35,3.07
66.72,322.47,2.7
66.72,333.58,2.24
66.72,344.7,2.03
66.72,355.82,1.72
66.72,366.94,1.54
66.72,378.06,1.53
66.72,389.18,1.28
66.72,400.3,1.01
66.72,411.42,0.66
66.72,422.54,0.65
77.84,222.39,19.6
77.84,233.51,17.55
77.84,244.63,17.11
77.84,255.75,14.14
77.84,266.87,12.2
77.84,277.99,10.63
77.84,289.11,5.84
77.84,300.23,1.69
77.84,311.35,2.91
77.84,322.47,2.53
77.84,333.58,1.81
77.84,344.7,1.9
77.84,355.82,1.51
77.84,366.94,1.39
77.84,378.06,1.3
77.84,389.18,1.12
77.84,400.3,0.88
77.84,411.42,0.58
77.84,422.54,0.58
77.84,433.66,0.74
88.96,200.15,20.96
88.96,211.27,22.44
88.96,222.39,22.3
88.96,233.51,18.59
88.96,244.63,16.84
88.96,255.75,14.99
88.96,266.87,14.11
88.96,277.99,11.6
88.96,289.11,8
88.96,300.23,5.47
88.96,311.35,3.93
88.96,322.47,2.14
88.96,333.58,1.33
88.96,344.7,1.84
88.96,355.82,1.43
88.96,366.94,1.08
88.96,378.06,0.98
88.96,389.18,0.93
88.96,400.3,0.82
88.96,411.42,0.67
88.96,422.54,0.65
88.96,433.66,0.74
100.08,189.03,20.71
100.08,200.15,21.89
100.08,211.27,22.38
100.08,222.39,22.14
100.08,233.51,19.51
100.08,244.63,17.95
100.08,255.75,15.7
100.08,266.87,14.39
100.08,277.99,11.66
100.08,289.11,8.93
100.08,300.23,7.61
100.08,311.35,5.31
100.08,322.47,3.44
100.08,333.58,2.24
100.08,344.7,1.81
100.08,355.82,1.39
100.08,366.94,0.99
100.08,378.06,0.85
100.08,389.18,0.84
100.08,400.3,0.72
100.08,411.42,0.5
100.08,422.54,0.52
100.08,433.66,0.69
111.19,177.91,19.6
111.19,189.03,21.09
111.19,200.15,23.17
111.19,211.27,21.52
111.19,222.39,20.75
111.19,233.51,20.06
111.19,244.63,20.95
111.19,255.75,18.44
111.19,266.87,15.11
111.19,277.99,11.73
111.19,289.11,8.82
111.19,300.23,8.3
111.19,311.35,6.21
111.19,322.47,4.01
111.19,333.58,2.26
111.19,344.7,1.7
111.19,355.82,1.48
111.19,366.94,1.17
111.19,378.06,0.82
111.19,389.18,0.76
111.19,400.3,0.68
111.19,411.42,0.54
111.19,422.54,0.57
111.19,433.66,0.66
122.31,166.79,18.15
122.31,177.91,18.64
122.31,189.03,19.14
122.31,200.15,20.59
122.31,211.27,20.6
122.31,222.39,20.56
122.31,233.51,20.55
122.31,244.63,21.07
122.31,255.75,18.8
122.31,266.87,15.52
122.31,277.99,12.44
122.31,289.11,9.93
122.31,300.23,8.35
122.31,311.35,6.4
122.31,322.47,4.07
122.31,333.58,2.23
122.31,344.7,1.75
122.31,355.82,1.44
122.31,366.94,1.14
122.31,378.06,0.8
122.31,389.18,0.63
122.31,400.3,0.69
122.31,411.42,0.68
122.31,422.54,0.64
122.31,433.66,0.64
122.31,444.78,0.79
133.43,155.67,15.9
133.43,166.79,17.17
133.43,177.91,18.2
133.43,189.03,18.54
133.43,200.15,19.42
133.43,211.27,20
133.43,222.39,20.79
133.43,233.51,21.95
133.43,244.63,19.82
133.43,255.75,17.45
133.43,266.87,15.37
133.43,277.99,13.37
133.43,289.11,10.14
133.43,300.23,7.96
133.43,311.35,6.43
133.43,322.47,4.43
133.43,333.58,2.46
133.43,344.7,1.69
133.43,355.82,1.13
133.43,366.94,0.94
133.43,378.06,0.7
133.43,389.18,0.64
133.43,400.3,0.69
133.43,411.42,0.74
133.43,422.54,0.8
133.43,433.66,0.87
133.43,444.78,0.88
144.55,144.55,14.74
144.55,155.67,14.33
144.55,166.79,16.16
144.55,177.91,17.58
144.55,189.03,18.32
144.55,200.15,19.17
144.55,211.27,19.58
144.55,222.39,20.07
144.55,233.51,20.26
144.55,244.63,19.07
144.55,255.75,16.66
144.55,266.87,15.13
144.55,277.99,13.5
144.55,289.11,9.43
144.55,300.23,7.31
144.55,311.35,6.7
144.55,322.47,4.43
144.55,333.58,2.31
144.55,344.7,1.03
144.55,355.82,0.73
